Datetime,KWH
2010-01-01 00:00:00,0.0
2010-01-01 01:00:00,0.0
2010-01-01 02:00:00,0.0
2010-01-01 03:00:00,0.0
2010-01-01 06:00:00,0.0
2010-01-01 07:00:00,0.0
2010-01-01 08:00:00,86.4221
2010-01-01 09:00:00,369.57027
2010-01-01 10:00:00,277.64033
2010-01-01 11:00:00,339.74354
2010-01-01 12:00:00,220.9176
2010-01-01 13:00:00,309.30449
2010-01-01 14:00:00,277.35312
2010-01-01 15:00:00,211.73819
2010-01-01 16:00:00,55.03287
2010-01-01 17:00:00,0.06955
2010-01-02 06:00:00,0.0
2010-01-02 07:00:00,0.0
2010-01-02 08:00:00,92.37023
2010-01-02 09:00:00,410.68684
2010-01-02 10:00:00,457.58963
2010-01-02 11:00:00,419.48044
2010-01-02 12:00:00,380.8065
2010-01-02 13:00:00,387.82654
2010-01-02 14:00:00,410.38245
2010-01-02 15:00:00,398.68252
2010-01-02 16:00:00,84.81221
2010-01-02 17:00:00,0.0
2010-01-03 07:00:00,0.0
2010-01-03 08:00:00,79.06255
2010-01-03 09:00:00,324.21062
2010-01-03 10:00:00,436.603
2010-01-03 11:00:00,409.62175
2010-01-03 12:00:00,377.95486
2010-01-03 13:00:00,385.19509
2010-01-03 14:00:00,410.67013
2010-01-03 15:00:00,395.19763
2010-01-03 16:00:00,85.20581
2010-01-03 17:00:00,0.0
2010-01-04 07:00:00,0.0
2010-01-04 08:00:00,86.44431
2010-01-04 09:00:00,331.34592
2010-01-04 10:00:00,390.36496
2010-01-04 11:00:00,311.81627
2010-01-04 12:00:00,306.69418
2010-01-04 13:00:00,281.45322
2010-01-04 14:00:00,350.83956
2010-01-04 15:00:00,367.56497
2010-01-04 16:00:00,101.72439
2010-01-04 17:00:00,0.04587
2010-01-05 07:00:00,0.0
2010-01-05 08:00:00,85.68457
2010-01-05 09:00:00,239.65458
2010-01-05 10:00:00,449.57031
2010-01-05 11:00:00,409.26901
2010-01-05 12:00:00,375.18226
2010-01-05 13:00:00,358.52721
2010-01-05 14:00:00,396.63913
2010-01-05 15:00:00,337.2756
2010-01-05 16:00:00,123.79189
2010-01-05 17:00:00,0.8131
2010-01-06 07:00:00,0.0
2010-01-06 08:00:00,69.44387
2010-01-06 09:00:00,316.30042
2010-01-06 10:00:00,426.11754
2010-01-06 11:00:00,403.31557
2010-01-06 12:00:00,369.44183
2010-01-06 13:00:00,373.746
2010-01-06 14:00:00,398.32425
2010-01-06 15:00:00,388.51256
2010-01-06 16:00:00,106.03863
2010-01-06 17:00:00,1.1042
2010-01-06 19:00:00,0.0
2010-01-06 20:00:00,0.0
2010-01-06 21:00:00,0.0
2010-01-06 22:00:00,0.0
2010-01-06 23:00:00,0.0
2010-01-07 05:00:00,0.0
2010-01-07 07:00:00,0.0
2010-01-07 08:00:00,65.86528
2010-01-07 09:00:00,383.35414
2010-01-07 10:00:00,405.77478
2010-01-07 11:00:00,408.75622
2010-01-07 12:00:00,349.11635
2010-01-07 13:00:00,377.51061
2010-01-07 14:00:00,408.23797
2010-01-07 15:00:00,341.26283
2010-01-07 16:00:00,102.90672
2010-01-07 17:00:00,2e-05
2010-01-08 07:00:00,0.0
2010-01-08 08:00:00,64.72242
2010-01-08 09:00:00,281.4267
2010-01-08 10:00:00,444.06828
2010-01-08 11:00:00,349.03445
2010-01-08 12:00:00,243.7955
2010-01-08 13:00:00,228.24587
2010-01-08 14:00:00,104.77749
2010-01-08 15:00:00,65.50852
2010-01-08 16:00:00,3.95332
2010-01-08 17:00:00,0.02635
2010-01-09 07:00:00,0.0
2010-01-09 08:00:00,87.11857
2010-01-09 09:00:00,403.82967
2010-01-09 10:00:00,446.39
2010-01-09 11:00:00,405.09875
2010-01-09 12:00:00,377.42298
2010-01-09 13:00:00,385.62258
2010-01-09 14:00:00,334.25565
2010-01-09 15:00:00,275.92027
2010-01-09 16:00:00,134.12331
2010-01-09 17:00:00,0.03987
2010-01-10 07:00:00,0.0
2010-01-10 08:00:00,44.41253
2010-01-10 09:00:00,393.83995
2010-01-10 10:00:00,438.39188
2010-01-10 11:00:00,406.07838
2010-01-10 12:00:00,373.87103
2010-01-10 13:00:00,355.82954
2010-01-10 14:00:00,333.36685
2010-01-10 15:00:00,332.2008
2010-01-10 16:00:00,112.79627
2010-01-10 17:00:00,0.06665
2010-01-11 07:00:00,0.0
2010-01-11 08:00:00,89.63282
2010-01-11 09:00:00,406.55381
2010-01-11 10:00:00,447.39125
2010-01-11 11:00:00,411.87368
2010-01-11 12:00:00,379.39111
2010-01-11 13:00:00,383.44283
2010-01-11 14:00:00,391.31594
2010-01-11 15:00:00,391.83131
2010-01-11 16:00:00,127.0383
2010-01-11 17:00:00,0.0357
2010-01-11 18:00:00,0.0
2010-01-11 19:00:00,0.0
2010-01-11 22:00:00,0.0
2010-01-11 23:00:00,0.0
2010-01-12 01:00:00,0.0
2010-01-12 02:00:00,0.0
2010-01-12 03:00:00,0.0
2010-01-12 04:00:00,0.0
2010-01-12 05:00:00,0.0
2010-01-12 07:00:00,0.0
2010-01-12 08:00:00,26.88741
2010-01-12 09:00:00,352.17619
2010-01-12 10:00:00,215.73697
2010-01-12 11:00:00,85.76176
2010-01-12 12:00:00,223.30359
2010-01-12 13:00:00,372.64748
2010-01-12 14:00:00,139.03749
2010-01-12 15:00:00,289.48143
2010-01-12 16:00:00,141.84194
2010-01-12 17:00:00,0.11178
2010-01-12 19:00:00,0.0
2010-01-12 20:00:00,0.0
2010-01-12 21:00:00,0.0
2010-01-13 07:00:00,0.0
2010-01-13 08:00:00,0.00125
2010-01-13 09:00:00,18.62904
2010-01-13 10:00:00,57.86497
2010-01-13 11:00:00,182.34511
2010-01-13 12:00:00,287.33212
2010-01-13 13:00:00,403.37846
2010-01-13 14:00:00,280.15081
2010-01-13 15:00:00,34.58413
2010-01-13 16:00:00,0.17204
2010-01-13 17:00:00,0.0
2010-01-13 18:00:00,0.0
2010-01-13 19:00:00,0.0
2010-01-13 20:00:00,0.0
2010-01-13 21:00:00,0.0
2010-01-13 23:00:00,0.0
2010-01-14 00:00:00,0.0
2010-01-14 07:00:00,0.0
2010-01-14 08:00:00,95.52639
2010-01-14 09:00:00,432.76085
2010-01-14 10:00:00,483.6458
2010-01-14 11:00:00,446.47845
2010-01-14 12:00:00,409.99146
2010-01-14 13:00:00,410.75954
2010-01-14 14:00:00,441.52457
2010-01-14 15:00:00,445.21839
2010-01-14 16:00:00,159.2154
2010-01-14 17:00:00,0.34393
2010-01-14 19:00:00,0.0
2010-01-14 20:00:00,0.0
2010-01-14 21:00:00,0.0
2010-01-14 23:00:00,0.0
2010-01-15 00:00:00,0.0
2010-01-15 06:00:00,0.0
2010-01-15 07:00:00,0.0
2010-01-15 08:00:00,98.47202
2010-01-15 09:00:00,413.20333
2010-01-15 10:00:00,439.75335
2010-01-15 11:00:00,402.42284
2010-01-15 12:00:00,392.93272
2010-01-15 13:00:00,398.45026
2010-01-15 14:00:00,394.84737
2010-01-15 15:00:00,215.54286
2010-01-15 16:00:00,9.69928
2010-01-15 17:00:00,0.0
2010-01-15 19:00:00,0.0
2010-01-16 06:00:00,0.0
2010-01-16 07:00:00,0.0
2010-01-16 08:00:00,16.14175
2010-01-16 09:00:00,117.8188
2010-01-16 10:00:00,417.10814
2010-01-16 11:00:00,245.45152
2010-01-16 12:00:00,207.64828
2010-01-16 13:00:00,166.39839
2010-01-16 14:00:00,105.51588
2010-01-16 15:00:00,129.10659
2010-01-16 16:00:00,139.54692
2010-01-16 17:00:00,0.54916
2010-01-16 22:00:00,0.0
2010-01-16 23:00:00,0.0
2010-01-17 00:00:00,0.0
2010-01-17 01:00:00,0.0
2010-01-17 07:00:00,0.0
2010-01-17 08:00:00,82.80577
2010-01-17 09:00:00,283.05033
2010-01-17 10:00:00,347.49113
2010-01-17 11:00:00,259.05915
2010-01-17 12:00:00,322.89954
2010-01-17 13:00:00,290.65313
2010-01-17 14:00:00,274.9452
2010-01-17 15:00:00,281.10149
2010-01-17 16:00:00,154.6224
2010-01-17 17:00:00,0.0
2010-01-17 23:00:00,0.0
2010-01-18 00:00:00,0.0
2010-01-18 08:00:00,0.0
2010-01-18 09:00:00,4.4874
2010-01-18 10:00:00,8.24597
2010-01-18 11:00:00,6.24637
2010-01-18 12:00:00,1.42663
2010-01-18 13:00:00,0.03498
2010-01-18 14:00:00,0.0
2010-01-18 15:00:00,1.63907
2010-01-18 16:00:00,0.19501
2010-01-18 17:00:00,0.0
2010-01-18 22:00:00,0.0
2010-01-18 23:00:00,0.0
2010-01-19 02:00:00,0.0
2010-01-19 03:00:00,0.0
2010-01-19 04:00:00,0.0
2010-01-19 05:00:00,0.0
2010-01-19 07:00:00,0.0
2010-01-19 08:00:00,38.1023
2010-01-19 09:00:00,129.22112
2010-01-19 10:00:00,61.75022
2010-01-19 11:00:00,129.14171
2010-01-19 12:00:00,172.93221
2010-01-19 13:00:00,94.59219
2010-01-19 14:00:00,62.2469
2010-01-19 15:00:00,8.43277
2010-01-19 16:00:00,0.0
2010-01-19 17:00:00,0.02051
2010-01-20 02:00:00,0.0
2010-01-20 03:00:00,0.0
2010-01-20 04:00:00,0.0
2010-01-20 05:00:00,0.0
2010-01-20 06:00:00,0.0
2010-01-20 07:00:00,0.00153
2010-01-20 08:00:00,102.64743
2010-01-20 09:00:00,237.50475
2010-01-20 10:00:00,174.6845
2010-01-20 11:00:00,153.28353
2010-01-20 12:00:00,118.71284
2010-01-20 13:00:00,45.62557
2010-01-20 14:00:00,34.87734
2010-01-20 15:00:00,7.28555
2010-01-20 16:00:00,0.0
2010-01-20 19:00:00,0.0
2010-01-20 20:00:00,0.0
2010-01-21 02:00:00,0.0
2010-01-21 03:00:00,0.0
2010-01-21 06:00:00,0.0
2010-01-21 07:00:00,0.0
2010-01-21 08:00:00,0.0
2010-01-21 09:00:00,0.00214
2010-01-21 10:00:00,0.4196
2010-01-21 11:00:00,12.0557
2010-01-21 12:00:00,27.2178
2010-01-21 13:00:00,4.51642
2010-01-21 14:00:00,0.0
2010-01-21 15:00:00,0.00042
2010-01-21 16:00:00,0.52096
2010-01-21 17:00:00,0.0
2010-01-21 18:00:00,0.0
2010-01-21 20:00:00,0.0
2010-01-21 21:00:00,0.0
2010-01-21 23:00:00,0.0
2010-01-22 06:00:00,0.0
2010-01-22 07:00:00,0.0
2010-01-22 08:00:00,7.45289
2010-01-22 09:00:00,84.65382
2010-01-22 10:00:00,103.567
2010-01-22 11:00:00,203.10776
2010-01-22 12:00:00,264.81343
2010-01-22 13:00:00,373.36354
2010-01-22 14:00:00,204.81244
2010-01-22 15:00:00,275.50758
2010-01-22 16:00:00,144.59769
2010-01-22 17:00:00,4.19279
2010-01-22 22:00:00,0.0
2010-01-22 23:00:00,0.0
2010-01-23 00:00:00,0.0
2010-01-23 05:00:00,0.0
2010-01-23 06:00:00,0.0
2010-01-23 07:00:00,0.0
2010-01-23 08:00:00,122.62599
2010-01-23 09:00:00,455.15915
2010-01-23 10:00:00,500.62445
2010-01-23 11:00:00,470.56276
2010-01-23 12:00:00,332.5008
2010-01-23 13:00:00,454.84846
2010-01-23 14:00:00,469.31319
2010-01-23 15:00:00,311.20098
2010-01-23 16:00:00,235.67927
2010-01-23 17:00:00,3.41874
2010-01-23 22:00:00,0.0
2010-01-23 23:00:00,0.0
2010-01-24 07:00:00,0.0
2010-01-24 08:00:00,133.63868
2010-01-24 09:00:00,472.67651
2010-01-24 10:00:00,505.77734
2010-01-24 11:00:00,471.5003
2010-01-24 12:00:00,439.96033
2010-01-24 13:00:00,438.92191
2010-01-24 14:00:00,460.9596
2010-01-24 15:00:00,463.14037
2010-01-24 16:00:00,233.24747
2010-01-24 17:00:00,4.04711
2010-01-24 18:00:00,0.0
